Survey Variable,Survey Question,Response Values,,No Response Value
A_.0,Do you agree to participate?,"1 = yes, 2 = no",,
E.1,Indiana County where you reside?,"4 = Adams
55 = Blackford
56 = Cass
57 = Clinton
58 = Crawford
59 = Daviess
60 = DeKalb
61 = Dubois
62 = Fayette
63 = Fountain
64 = Franklin
65 = Fulton
66 = Gibson
67 = Grant
68 = Greene
69 = Henry
70 = Huntington
71 = Jackson
72 = Jay
73 = Jefferson
74 = Jennings
75 = Knox
76 = Kosciusko
77 = LaGrange
","78 = Lawrence
79 = Marshall
80 = Martin
81 = Miami
82 = Montgomery
83 = Noble
84 = Orange
85 = Parke
86 = Perry
87 = Pike
88 = Pulaski
89 = Randolph
90 = Ripley
91 = Rush
92 = Spencer
93 = Starke
94 = Steuben
95 = Switzerland
96 = Tipton
97 = Wabash
98 = Warren
99 = Wayne
100 = White
101 = Other",
E.2,Are you 18 years or older?,"1 = yes, 2 = no",,
A.1_1,Community social service needs of your community: Public Safety?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_2,Community social service needs of your community: Financial struggles?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_3,Community social service needs of your community: Food Related needs?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_4,Community social service needs of your community: Housing issues?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_5,Community social service needs of your community: K-12 Public Education,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_6,Community social service needs of your community: Climate change?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_7,Community social service needs of your community: Caregiving for family members?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_8,Community social service needs of your community: Health care?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_9,Community social service needs of your community: Mental Health issues?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_10,Community social service needs of your community: Transportation?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_11,Community social service needs of your community: Social Connection?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_12,Community social service needs of your community: Digital needs?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.1_13,Community social service needs of your community: Cultural diversity?,"Scale: 1 = no needs,  7 = Great Deal of Needs",,
A.2_1,Community need listed highest?,Text entry,,
A.2.1a,Top need,,,
A.2.1b,Category for top need,,,
A.3_1,Extent community experiences this need (from A.3_1_TEXT),"Scale: 1 = no significance,  7 = High Signficance",,
A.3_1_TEXT,What other community social service needs in your community?,Text entry,,
A.3_1_Text_Freq,Classify community issue,,,
A.3_2,Extent community experiences this need (from A.3_2_TEXT),"Scale: 1 = no significance,  7 = High Signficance",,-99
A.3_2_TEXT,What other community social service needs in your community?,Text entry,,
A.3_2_TEXT_Freq,Classify community issue,,,
A.3_3,Extent community experiences this need (from A.3_3_TEXT),"Scale: 1 = no significance,  7 = High Signficance",,-99
A.3_3_TEXT,What other community social service needs in your community?,Text entry,,
A.3_3_TEXT_Freq,Classify community issue,,,
A.4,Any personal experience from needs listed in A.1-A.3?,"1 = yes, 2 = no",,-99
A.5,Describe experience with needs from A.1-A.3.,Text entry,,
A.5_Descript_Code,Classify type of need personally experienced ,,,
A.6,How did you address community needs from A.1-A.3?,Text entry,,
A.6_a,Classify strategy used adress community need,,,
A.7_1,Does your community have resources to address community needs?,"Scale: 1 = strongly disagree, 7 = strongly agree",,
A.8,Has the COVID pandemic impacted you and/or your community needs?,Text entry,,
A.8_1a,Classify COVID impact,,,
B.2,Does your library provide social services to address community needs?,"1 = yes, 2 = no, 3= I don't know",,
B.3,Have you used these services in the past?,"1 = yes, 2 = no",,
B.4,What services have you used?,Text entry,,
B.4_1,,,,
B.5,Describe experience.,Text entry,,
B.5_A,,,,
B.5_B,,,,
B.5_C,,,,
B.6,Why haven't you used the services?,Text entry,,
B.6_A,,,,
B.7,Do you think it would be helpful if library provided social services?,"1 = yes, 2 = no, 3= I don't know",,
B.8_1,Would this library social service be useful: On-site support (human experts)?,"Scale: 1 = very useless, 7 = very useful",,-99
B.8_2,Would this library social service be useful: On-site support (resources)?,"Scale: 1 = very useless, 7 = very useful",,-99
B.8_3,Would this library social service be useful: Online consultation?,"Scale: 1 = very useless, 7 = very useful",,-99
B.8_4,Would this library social service be useful: Connecting to resources?,"Scale: 1 = very useless, 7 = very useful",,-99
B.8_5,Would this library social service be useful: Help with documents?,"Scale: 1 = very useless, 7 = very useful",,-99
B.8_6,Would this library social service be useful: Space rental?,"Scale: 1 = very useless, 7 = very useful",,-99
B.9__1,Rating for B.9_1_TEXT,"Scale: 1 = very useless, 7 = very useful",,
B.9__1_TEXT,Any other library social services you think would be useful?,,,
B.9_1_TEXT_Category,Classify social service,,,
B.9__2,Rating for B.9_2_TEXT,"Scale: 1 = very useless, 7 = very useful",,
B.9__2_TEXT,Any other library social services you think would be useful?,Text entry,,
B.9_2_TEXT_Category,Classify social service,,,
B.9__3,Rating for B.9_3_TEXT,"Scale: 1 = very useless, 7 = very useful",,
B.9__3_TEXT,Any other library social services you think would be useful?,Text entry,,
B.9_3_TEXT_Category,Classify social service,,,
B.10_1,Extent you agree with the following: Libraries aim to offer free and open access to information resources.,"Scale: 1 = disagree, 4 = agree",,
B.10_2,Extent you agree with the following: Libraries play a crucial role in promoting literacy.,"Scale: 1 = disagree, 4 = agree",,
B.10_3,"Extent you agree with the following: Libraries serve as centers for education, lifelong learning, and other technologies.","Scale: 1 = disagree, 4 = agree",,
B.10_4,Extent you agree with the following: Libraries uphold principle of equal access to information for all.,"Scale: 1 = disagree, 4 = agree",,
B.10_5,"Extent you agree with the following: Libraries serve as community hubs, fostering engagement.","Scale: 1 = disagree, 4 = agree",,
B.10_6,Extent you agree with the following: Libraries promote social support by linking people to government assistance.,"Scale: 1 = disagree, 4 = agree",,
B.10_7,Extent you agree with the following: Libraries aim to meet diverse needs of community.,"Scale: 1 = disagree, 4 = agree",,
B.10_8,Extent you agree with the following: Libraries contribute to cultural enrichment in communities.,"Scale: 1 = disagree, 4 = agree",,
B.10_9,Extent you agree with the following: Libraries can contribute to economic development in their community through offering resources.,"Scale: 1 = disagree, 4 = agree",,
B.10_10,Extent you agree with the following: Overall the mission of public libraries is to serve as inclusive and accessible spaces to enrich communities.,"Scale: 1 = disagree, 4 = agree",,
B.11__1,Rating for B.11_1_TEXT,"Scale: 1 = disagree, 4 = agree",,-99
B.11__1_TEXT,Any additional expectations of social services that libraries should provide?,Text entry,,
B.11_1_Category,Classify expectations,,,
B.11__2,Rating for B.11_1_TEXT,"Scale: 1 = disagree, 4 = agree",,-99
B.11__2_TEXT,Any additional expectations of social services that libraries should provide?,Text entry,,
B.11_2_Category,Classify expectations,,,
B.11__3,Rating for B.11_1_TEXT,"Scale: 1 = disagree, 4 = agree",,-99
B.11__3_TEXT,Any additional expectations of social services that libraries should provide?,Text entry,,
B.11_3_Category,Classify expectations,,,
B.12,Has the COVID pandemic impacted your expecations of public library's roles in social services?,Text entry,,
B.12_A,,,,
B.12_B,,,,
C.1,Have you used your local library services for you and your family in the past one year?,"1 = yes, 2 = no",,
C.3,What is your age?,"10 = 18 - 24
11 = 25 - 34
12 = 35 - 44
13 = 45 - 54
14 = 55 - 64
15 = 65 - 74
16 = 75 - 84
17 = 85 or older",,
C.4,What is your gender?,"12 = Male
13 = Female
14 = Non-binary
15 = Prefer not to say
16 = Other",,
C.4_16_TEXT,If gender is other:,Text entry,,
C.5,Highest level of education:,"9 = No Education
10 = 8th grade or less
11 = Some high school
12 =High school diploma
13 =GED
14 =Some college
15 =Associate degree/Vocational school
16 =Bachelor's degree
17 =More than bachelor's degree",,
C.6,Household's primary source of income?,"8 = Agriculture/Farming??
9 = Manual labor??
10 = Small business owner??
11 = Professional ( teacher, nurse, engineer)                                                                             12 = Service industry??
13 = Unemployed??
14 = Other ",,
C.6_14_TEXT,If income source is other:,Text entry,,
C.7,Employment status:,"12 = Full-time
13 = Part-time
14 = Not working/retired
15 = Seasonal
16 = Other",,
C.8,What is your racial background?,"4 =  White/Caucasian??
5 = Black/African American??
6 = Hispanic/Latinx??
7 = Asian??
8 = Native American/Alaska Native??
9 = Native Hawaiian/Pacific Islander??
10 - Multiracial??
11 = Other",,
C.8_11_TEXT,If racial background is other:,Text entry,,
C.9,What is your marital status?,"4 = Single
5 = Married
6 = Widowed
7 = Divorced
8 = Separated ??
9 = Living with partner? ",,
C.10,How long have you lived in current town?,Text entry,,
C.10_1,C.10 as a number,Numerical,,
C.10_1_Classes,,,,
C.11,Do you have access to the internet?,"25 = no, 26 = yes",,
C.11_1,Where do you usually use internet: Laptop,"Laptop
Cell phone
Library
Community center
Other",,
C.11_2,Where do you usually use internet: Cell phone,1 = yes,,
C.11_3,Where do you usually use internet: Library,1 = yes,,
C.11_4,Where do you usually use internet: Community Center,1 = yes,,
C.11_5,Where do you usually use internet: Other,1 = yes,,
C.11_5_TEXT,If use internet in other:,Text entry,,
D,Would you like to be entered into drawing?,"26 = yes,  27 = no",,
filter_$,,,,
C.10_1_Classfix,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
