StartDate,EndDate,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,A_.0,E.1,E.2,A.1_1,A.1_2,A.1_3,A.1_4,A.1_5,A.1_6,A.1_7,A.1_8,A.1_9,A.1_10,A.1_11,A.1_12,A.1_13,A.2_1,A.2.1a,A.2.1b,A.3_1,A.3_1_TEXT,A.3_1_Text_Freq,A.3_2,A.3_2_TEXT,A.3_2_TEXT_Freq,A.3_3,A.3_3_TEXT,A.3_3_TEXT_Freq,A.4,A.5,A.5_Descript_Code,A.6,A.6_a,A.7_1,A.8,A.8_1a,B.2,B.3,B.4,B.4_1,B.5,B.5_A,B.5_B,B.5_C,B.6,B.6_A,B.7,B.8_1,B.8_2,B.8_3,B.8_4,B.8_5,B.8_6,B.9__1,B.9__1_TEXT,B.9_1_TEXT_Category,B.9__2,B.9__2_TEXT,B.9_2_TEXT_Category,B.9__3,B.9__3_TEXT,B.9_3_TEXT_Category,B.10_1,B.10_2,B.10_3,B.10_4,B.10_5,B.10_6,B.10_7,B.10_8,B.10_9,B.10_10,B.11__1,B.11__1_TEXT,B.11_1_Category,B.11__2,B.11__2_TEXT,B.11_2_Category,B.11__3,B.11__3_TEXT,B.11_3_Category,B.12,B.12_A,B.12_B,C.1,C.3,C.4,C.4_16_TEXT,C.5,C.6,C.6_14_TEXT,C.7,C.8,C.8_11_TEXT,C.9,C.10,C.10_1,C.10_1_Classes,C.11,C.11_1,C.11_2,C.11_3,C.11_4,C.11_5,C.11_5_TEXT,D,filter_$,C.10_1_Classfix
3/4/2024 4:03:21,3/4/2024 4:11:25,100,484,1,3/4/2024 4:11:26,R_42nAlS8Ew2Wkq6Q,34.6808,112.4531,EN,1,62,1,4,4,3,5,5,5,5,5,5,5,5,5,4, , , ,3, , ,2, , ,3, , ,1, , , , ,3, , ,2,-99, , , , , , , , ,1,3,3,4,3,3,2,4, , ,4, , ,3, , ,3,2,3,2,3,2,2,3,2,2,3, , ,2, , ,3, , , , , ,1,10,12, ,12,9, ,12,11, ,7,啊, , ,25, , , , , , ,26,1, 
3/2/2024 22:01:28,3/3/2024 0:10:56,100,7768,1,3/3/2024 0:10:57,R_17J1rNkz4vx55fD,34.0544,-118.2441,EN,1,58,1,5,2,4,4,4,4,4,4,5,3,4,5,4,Mental health in high demand,9,2,2, , ,2, , ,2, , ,1,"It takes courage to face it, come on! Hard work and difficulty", ,no, ,6,Strictly guard against stubbornness and adopt the correct method to solve the problem, ,1,2, , , , , , ,"No reason, I don’t think it’s necessary",1,1,2,3,3,2,2,3,4, , ,3, , ,3, , ,3,2,2,2,2,2,3,2,3,3,2, , ,2, , ,3, , ,没有，该怎样就怎样, , ,1,11,13, ,12,9, ,12,7, ,4,3,3,1,26, , ,1, , , ,26,1,1
3/5/2024 1:52:59,3/5/2024 2:37:43,100,2684,1,3/5/2024 2:37:44,R_6eytmE6CgrEeK0p,45.5242,-122.6684,EN,1,57,1,3,3,3,3,3,3,4,5,5,4,4,5,5,rgergd, , ,4, , ,4, , ,4, , ,1,x, ,xzc, ,4,vdsv, ,1,1,gfdb, ,hfgb, , , , , ,1,5,4,4,5,5,5,4, , ,4, , ,5, , ,3,2,3,2,3,2,3,2,3,2,3, , ,3, , ,3, , ,bdxfv, , ,1,11,13, ,17,10, ,12,4, ,5, , , ,26,1,1, , , , ,26,1, 
3/2/2024 20:58:25,3/2/2024 21:19:59,100,1294,1,3/2/2024 21:20:00,R_3kpKp0XpTHQrX07,37.1835,-121.7714,EN,1,55,1,7,7,7,7,7,7,7,7,7,7,7,7,7,All are places, , ,1, , ,1, , ,1, , ,2, , , , ,5,make no difference,8,1,1,I didn't use some services., ,"Can't describe, experience", , , , , ,1,6,6,7,7,6,7,6, , ,5, , ,5, , ,4,4,4,4,4,4,4,4,4,4,4, , ,4, , ,4, , ,Not yet, , ,1,11,12, ,12,12, ,13,5, ,4,threeyear,3,1,26, , , ,1, , ,26,1,1
3/3/2024 7:29:17,3/3/2024 7:40:21,100,664,1,3/3/2024 7:40:22,R_5PYDDJX8WlKeN5T,37.1835,-121.7714,EN,1,64,1,4,3,5,5,5,4,5,6,4,6,4,6,6,Because I need, , ,1, , ,1, , ,2, , ,1,More medical care,8,More health care workers, ,4,None,8,1,2, , , , , , ,Fear of bad attitude,3,1,6,5,4,2,3,3,5, , ,1, , ,3, , ,4,4,3,4,4,4,4,4,4,4,4, , ,2, , ,4, , ,None, , ,1,11,13, ,16,12, ,12,8, ,5,Three year,3,1,26,1,1, , , , ,27,1,1
3/4/2024 21:00:57,3/4/2024 21:11:00,100,602,1,3/4/2024 21:11:00,R_7cbXdkkUHp5xJkq,34.0544,-118.2441,EN,1,63,1,4,5,6,5,4,6,4,6,5,6,7,6,6,Social connection,11, ,5, , ,3, , ,6, , ,2, , , , ,5,yes, ,1,1,Social connection, ,right,2, , , , ,1,5,4,5,5,6,6,6, , ,6, , ,6, , ,3,2,3,3,3,2,3,3,2,3,3, , ,3, , ,3, , ,yes, , ,1,10,13, ,17,8, ,12,4, ,4,Ten years,10,2,26, , , , , , ,26,1,2
3/3/2024 0:39:55,3/3/2024 0:52:11,100,735,1,3/3/2024 0:52:11,R_3lNwRU62PE7dsGt,34.0544,-118.2441,EN,1,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,temporarily, , ,1, , ,1, , ,1, , ,2, , , , ,4,one, ,1,2, , , , , , ,have no use for,1,1,4,4,4,4,4,4,4, , ,4, , ,4, , ,4,4,4,3,3,3,3,3,3,3,3, , ,2, , ,2, , ,No shadow, , ,2,11,12, ,14,10, ,12,4, ,4,Ten,10,2,26,1,1, , , , ,26,1,2
3/3/2024 6:44:29,3/3/2024 6:49:09,100,280,1,3/3/2024 6:49:10,R_61yDnrVXK9gSZaD,34.0544,-118.2441,EN,1,60,1,5,4,6,5,6,5,5,6,5,5,6,7,7, , , ,4, , ,4, , ,3, , ,1, , , , ,5, , ,1,1, , , , , , , , ,1,6,5,6,5,6,6,6, , ,6, , ,5, , ,3,4,4,4,4,3,3,4,4,3,4, , ,4, , ,2, , , , , ,1,12,12, ,16,11, ,12,4, ,4,Ten,10,2,26,1, , , , , ,26,1,2
2/25/2024 7:49:03,2/25/2024 7:52:08,93,184,0,3/3/2024 7:52:11,R_4nRSvEBeNcIEvUR, , ,EN,1,60,1,5,3,4,3,6,4,5,5,3,4,6,5,4, , , ,5, , ,3, , ,4, , ,1, , , , ,5, , ,1,1, , , , , , , , ,1,5,4,6,5,3,4,4, , ,5, , ,3, , ,2,3,2,4,3,3,2,4,3,2,3, , ,2, , ,3, , , , , ,1,14,12, ,13,9, ,13,4, ,6,SS, , ,26,1, , ,1, , ,26,1, 
2/21/2024 11:49:47,2/21/2024 12:17:36,100,1668,1,2/21/2024 12:17:37,R_37QsZHLxiZdfaj7,29.4029,-82.4817,EN,1,56,1,5,4,7,7,2,4,6,6,6,7,6,6,3,Transportation  To my knowledge there are no taxis available just the kind for certain types of individuals I am getting near the no driving myself age and it makes my wonder how I will get to the stores to buy groceries and necessities,10,1,6,More assistance for older people only  we seem to have a lot of poorer older people and they do not know where to go to get help,6,-99, , ,-99, , ,1,When my mother moved in with me it took awhile to get things set up because I did not know who to contact. Took me asking a lot of questions to finally get things going. Once that was done things seemed to fall into place,14,I go to the library a lot maybe something could be set up there as a place to start with phone numbers or addresses to check out,3,5,Not me personally except for higher prices on everything but then maybe the virus can not be blamed for most of that,8,3,-99, , , , , , , , ,1,1,1,1,7,5,6, , , , , , , , , ,4,3,2,4,3,1,2,2,1,2,-99, , ,-99, , ,-99, , ,No, , ,1,15,13, ,12,14,Retired,14,4, ,7,Since 1984,39,5,26,1, , , , , ,26,1,8
