Question_C7__1,Question_C7__2,Question_C7__3,Question_C7__4,Question_C7__12,Question_C7__6,Question_C7__7,Question_C7__8,Question_C7__17,Question_C7__18,Question_C7__11,Question_C7__16,Question_C7__20,Question_C7__22,Question_C7__25,Question_C7__26,Question_C7__27,Question_C7__28,Question_C7__29,Question_C7__30,Question_C7__31,Question_C7__32,Question_C7__23,Question_E1._,Question_E2._,Question_E3.,Question_E4._,Question_E5._,Question_E6._,Question_E9._
1,1,1, ,1,1,1, , , ,1,1,1,1, , , , ,1, , ,1, , , , , , , , 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , 
1,1,1,1,1,1,1,1, ,1,1,1,1,1, ,1, , , , ,1, , , , , , , , , 
1,1,1,1,1, , , , ,1,1,1,1,1,1, , , , , , ,1, , , , , , , , 
1,1,1, ,1, , , , , ,1, ,1, ,1,1,1, ,1, , ,1, , , , , , , , 
1,1,1, ,1, ,1,1, ,1,1,1,1,1,1, ,1,1, , ,1,1, , , , , , , , 
1, ,1, , ,1,1, , , , , , , , , ,1, ,1, , , , ,2,2,4,36,3,2, 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,2,3,49,3,2, 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,4,3,6, ,3,2, 
 , ,1, ,1, , , , , , ,1, , , , , , , , , ,1, ,2,2,3, ,3,2,20
1,1,1, ,1,1, , , , ,1,1,1,1,1, ,1, , , , , , ,2,2,3,43,4,1,20
1,1,1,1,1,1,1,1, ,1,1,1,1,1,1, , ,1, , , ,1, ,2,2,3, ,4,1, 
1, ,1, ,1, ,1,1, ,1,1,1,1,1,1, , , ,1, , ,1, ,2,2,3,31,3,2,10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,2,3,60,2,2,.5
1,1,1,1,1,1,1, ,1, ,1,1,1,1,1, ,1,1, ,1,1,1, ,3,2,3,35,3,2,5
1,1,1,1,1,1, ,1, , ,1,1,1,1,1, ,1,1,1, , ,1, ,2,2,3,49,4,2,.5
1,1,1,1,1,1,1,1, , ,1,1,1,1,1, , ,1, , , ,1, ,2,2,3,25,4,1,.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,2,1,29,1,2,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,3,6,38,2,2,.5
1,1,1,1,1,1, ,1, ,1,1,1,1,1,1, ,1,1,1, , ,1, ,2,1,5,35,4,2,2.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1, ,2,2,3,32,1,2,9
1,1,1,1,1, ,1, , , , ,1,1,1,1, , , , , , ,1, ,2,2,3,44,2,2,19
1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1, ,1,1, ,2,2,3,53,4,2,19
 ,1,1, ,1,1, , , ,1,1, , , ,1, , , , , , ,1, ,2,1,3,61,2,2,27
1,1,1,1,1,1,1, ,1, ,1,1,1,1,1, , , , , , , , ,2,2,2, ,4,1,24
1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1, , , ,1, ,2,2,3,38,6,2,9
1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1, ,1,1, ,2,2,3,58,4,2,4
1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1, , ,1, , ,1, ,2,1,3,50,1,2,.8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,1,1,2,2,4,59,3,2,2
1,1,1, ,1, , ,1, , ,1,1,1, , ,1, , ,1, , ,1, ,2,1,3,42,4,1,22
1,1,1,1,1, , , , , , , ,1, , ,1, , ,1, , , , ,2,2,3,38,4,2,1
1,1, ,1, ,1,1,1, , ,1,1, ,1, , , ,1,1, , ,1, ,3,2,3,28,4,1,5
1, ,1, ,1, , ,1, ,1, , ,1, ,1, ,1, ,1, , ,1, ,2,2,3,72,3,2,5
1,1,1, ,1,1, ,1,1,1,1,1, ,1,1, , , , , , ,1,1,3,2,3,38,1,2,4
1, ,1,1,1, ,1, , ,1,1,1, , ,1, , , , , , ,1, ,2,2,3,45,3,2,1
 ,1,1,1,1, , ,1, , ,1,1,1, , , , ,1,1, , , , ,2,2,3,65,4,1,15
1,1,1,1,1, , ,1,1,1,1,1,1,1,1, ,1, ,1, , ,1, ,2,2,3,51,4,2,20
1, ,1,1,1,1, , , , , ,1,1,1,1, , , , , , , , ,1,2,3,58,3,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1, , ,1, ,2,2,3,50,1,2,8
1, ,1,1,1,1, ,1,1, ,1,1,1,1,1,1,1,1,1, , ,1, ,2,2,3,53,4,2,18
1,1,1,1,1, , , , ,1,1, ,1,1, , , , , , , ,1, ,2,2,3, ,1,2,4
1,1,1, ,1,1,1, , , ,1,1,1,1,1, , ,1, , , , , ,2,2,3,37,5,1,4
1, ,1,1,1, ,1, , , ,1, ,1,1,1, , , , , , , , ,2,2,3,23,3,2,5
1,1,1,1,1,1,1,1, ,1,1,1,1,1,1, ,1,1,1, , ,1, ,2,2,3,61,4,1,20
1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1, ,1,1, ,1,1, ,2,2,3,50,4,1,5
1,1,1,1,1,1, , , , , ,1,1,1,1, , , , , , ,1, ,2,2,3,57,4,1,15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1, ,2,3,6, ,1,2,1
1,1,1,1,1,1,1,1, , ,1,1,1,1,1,1,1,1, , , ,1, ,2,2,3,71,4,1,40
1, ,1, ,1, , , , , , , , , , , , , , , , , , ,2,2,3,72,1,2,10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,43,1,2,1
1,1,1,1,1, ,1,1, ,1,1,1,1,1,1, ,1, ,1, ,1,1, ,2,2,3, ,4,2,.9
1, ,1,1,1,1, , , ,1, ,1,1,1,1, , ,1,1, , ,1, ,2,2,3,46,1,2,9
1, ,1,1,1, , ,1, , ,1, ,1, , , , , , , , ,1, ,2,2,3,28,6,2,3
1, ,1, ,1, , ,1, , , ,1, , , , , ,1,1, , , , ,2,2,3,30,3,2,3
1,1,1,1,1,1,1,1, ,1,1,1,1,1,1, , ,1,1, , ,1, ,2,2,3,44,3,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,2,3,54,3,2,9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1, ,2,2,3,51,4,2,9
1,1,1,1, ,1,1, , , ,1,1,1,1, , ,1,1, , ,1,1, ,1,2,3,59,6,2,1
1,1,1,1,1,1, , ,1, ,1,1,1,1,1, , ,1,1, ,1,1, ,2,1,3,42,4,1,15
1,1,1,1,1,1, ,1, , , ,1,1,1, , , , , , , ,1, ,2,2,3,38,4,2,1
